"1","1","2","2","4","2017-04-13 18:00:00"
"2","2","1",NULL,NULL,"2017-05-04 00:00:00"
"1","d123456","1","Lasse","Schöne","2017-04-13 09:44:13",NULL
"2","d5435435","1","Davy ","Klaassen","2017-04-13 09:44:13",NULL
"3","d545454","1","Hakim ","Ziyech","2017-04-13 09:45:47",NULL
"4","d666555","1","Kasper","Dolberg","2017-04-13 09:45:47",NULL
"5","d74745","2","Luuk","de Jong","2017-04-13 09:48:23",NULL
"6","d987665","2","Siem","de Jong","2017-04-13 09:48:23",NULL
"7","d11555","2","Jeroen","Zoet","2017-04-13 09:48:23",NULL
"8","d544566","2","Hector","Moreno","2017-04-13 09:48:23",NULL
"1","1","Ajax","2017-04-13 09:42:45",NULL
"2","1","PSV","2017-04-13 09:42:45",NULL
